127.0.0.1 - - [19/Dec/2022:13:03:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Dec/2022:13:03:03 +0900] "GET /MySNS2/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:13:03:03 +0900] "GET /MySNS2/css/core.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:13:03:03 +0900] "GET /MySNS2/js/core.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Dec/2022:13:03:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Dec/2022:13:03:09 +0900] "POST /MySNS2/jsp/login.jsp?id=test@abc.com&ps=1111 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [19/Dec/2022:13:03:09 +0900] "GET /MySNS2/main.html HTTP/1.1" 200 3852
0:0:0:0:0:0:0:1 - - [19/Dec/2022:13:03:09 +0900] "GET /MySNS2/css/core.css HTTP/1.1" 200 1926
0:0:0:0:0:0:0:1 - - [19/Dec/2022:13:03:09 +0900] "GET /MySNS2/css/main.css HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [19/Dec/2022:13:03:09 +0900] "GET /MySNS2/js/core.js HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [19/Dec/2022:13:03:09 +0900] "GET /MySNS2/js/jquery-3.6.1.min.js HTTP/1.1" 200 89664
0:0:0:0:0:0:0:1 - - [19/Dec/2022:13:03:09 +0900] "POST /MySNS2/jsp/session.jsp HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [19/Dec/2022:13:03:09 +0900] "POST /MySNS2/jsp/friendList.jsp HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [19/Dec/2022:13:03:09 +0900] "POST /MySNS2/jsp/feedGetGroup.jsp HTTP/1.1" 200 6239
